task_id,occupation,occupation_de,sector,onet_code,task_text,paraphrase_de,task_source,berufenet_id
MOD_0000,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,"Define the company's vision, mission, and long-term strategy.",Die Unternehmensvision und langfristige Strategie festlegen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0001,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Make final decisions on major business investments and initiatives.,Entscheidungen über größere Investitionen und Initiativen treffen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0002,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,"Represent the company to investors, board members, and the public.",Das Unternehmen gegenüber Investoren und der Öffentlichkeit vertreten.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0003,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,"Hire, develop, and lead the executive management team.","Das Führungsteam aufbauen, entwickeln und leiten.",modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0004,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Negotiate strategic partnerships and key contracts.,Strategische Partnerschaften und Schlüsselverträge verhandeln.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0005,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Review financial reports and oversee company performance.,Finanzberichte prüfen und die Unternehmensleistung überwachen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0006,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Ensure compliance with legal and regulatory requirements.,Die Einhaltung gesetzlicher und regulatorischer Vorgaben sicherstellen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0007,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Communicate company strategy and results to employees.,Unternehmensstrategie und Ergebnisse an Mitarbeiter kommunizieren.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0008,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Manage relationships with the board of directors.,Die Beziehung zum Aufsichtsrat pflegen und gestalten.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0009,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Drive organizational culture and values.,Die Unternehmenskultur und Werte vorantreiben.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0010,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Respond to crises and make high-stakes decisions under pressure.,In Krisensituationen Entscheidungen unter Druck treffen.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0011,Chief Executive Officer (CEO),Geschäftsführer/in (CEO),management,11-1011.00,Identify new market opportunities and growth areas.,Neue Marktchancen und Wachstumsfelder identifizieren.,modern_enrichment_v1,MOD_Chief_Executive_Officer_(CEO)
MOD_0012,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Develop and oversee the company's overall marketing strategy.,Die gesamte Marketingstrategie des Unternehmens entwickeln und steuern.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0013,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Manage the marketing budget and allocate resources across channels.,Das Marketingbudget verwalten und Ressourcen auf Kanäle verteilen.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0014,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Lead brand positioning and messaging across all markets.,Die Markenpositionierung und Markenkommunikation über alle Märkte führen.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0015,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,"Analyze market trends, customer insights, and competitive landscape.","Markttrends, Kundenerkenntnisse und Wettbewerbslandschaft analysieren.",modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0016,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,"Oversee digital marketing, content, and social media strategies.","Digitales Marketing, Content- und Social-Media-Strategien verantworten.",modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0017,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Build and lead the marketing team across functions.,Das Marketingteam aufbauen und bereichsübergreifend führen.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0018,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Present marketing performance and ROI to the executive team.,Marketing-Performance und ROI dem Führungsteam präsentieren.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0019,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Coordinate product launches with product and sales teams.,Produkteinführungen mit Produkt- und Vertriebsteams koordinieren.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0020,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Develop customer acquisition and retention strategies.,Strategien zur Kundengewinnung und -bindung entwickeln.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0021,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,"Manage relationships with agencies, media partners, and vendors.","Beziehungen zu Agenturen, Medienpartnern und Dienstleistern pflegen.",modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0022,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Define key performance indicators and track marketing effectiveness.,KPIs definieren und die Wirksamkeit des Marketings messen.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0023,Chief Marketing Officer (CMO),Marketingleiter/in (CMO),marketing,11-2021.00,Ensure brand consistency across all touchpoints.,Markenkonsistenz über alle Berührungspunkte sicherstellen.,modern_enrichment_v1,MOD_Chief_Marketing_Officer_(CMO)
MOD_0024,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Define the company's technology vision and roadmap.,Die Technologievision und Roadmap des Unternehmens definieren.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0025,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,"Evaluate and select technologies, platforms, and architectures.","Technologien, Plattformen und Architekturen bewerten und auswählen.",modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0026,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Lead the engineering and development teams.,Die Engineering- und Entwicklungsteams leiten.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0027,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Oversee software development processes and quality standards.,Softwareentwicklungsprozesse und Qualitätsstandards verantworten.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0028,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,"Ensure system security, scalability, and reliability.","Systemsicherheit, Skalierbarkeit und Zuverlässigkeit gewährleisten.",modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0029,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Manage the technology budget and vendor relationships.,Das Technologiebudget und Lieferantenbeziehungen steuern.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0030,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Drive technical innovation and research initiatives.,Technische Innovationen und Forschungsinitiativen vorantreiben.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0031,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Align technology decisions with business strategy.,Technologieentscheidungen mit der Geschäftsstrategie abstimmen.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0032,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Recruit and retain top engineering talent.,Spitzenkräfte im Engineering rekrutieren und halten.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0033,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Present technical strategies to the board and investors.,Technische Strategien dem Vorstand und Investoren präsentieren.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0034,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Oversee data infrastructure and cloud architecture.,Dateninfrastruktur und Cloud-Architektur verantworten.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0035,Chief Technology Officer (CTO),Technologieleiter/in (CTO),tech,11-3021.00,Manage technical debt and system modernization.,Technische Schulden und Systemmodernisierung steuern.,modern_enrichment_v1,MOD_Chief_Technology_Officer_(CTO)
MOD_0036,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,"Oversee financial planning, budgeting, and forecasting.","Finanzplanung, Budgetierung und Prognosen verantworten.",modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0037,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Prepare and present financial reports to the board and investors.,Finanzberichte für Vorstand und Investoren erstellen und vorstellen.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0038,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,"Manage cash flow, capital structure, and funding strategies.","Cashflow, Kapitalstruktur und Finanzierungsstrategien steuern.",modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0039,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Ensure compliance with tax regulations and accounting standards.,Die Einhaltung steuerlicher Vorschriften und Bilanzstandards sicherstellen.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0040,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Lead financial risk management and internal controls.,Finanzrisikomanagement und interne Kontrollen leiten.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0041,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Negotiate financing agreements with banks and investors.,Finanzierungsvereinbarungen mit Banken und Investoren verhandeln.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0042,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,"Oversee accounts payable, receivable, and payroll operations.","Debitoren, Kreditoren und Lohnbuchhaltung überwachen.",modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0043,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Develop pricing strategies and profitability analyses.,Preisstrategien und Rentabilitätsanalysen entwickeln.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0044,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Manage the finance and accounting team.,Das Finanz- und Buchhaltungsteam leiten.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0045,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Support M&A due diligence and deal structuring.,Due Diligence und Transaktionsstrukturierung bei M&A unterstützen.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0046,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Implement financial systems and reporting tools.,Finanzsysteme und Reporting-Tools einführen.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0047,Chief Financial Officer (CFO),Finanzvorstand (CFO),finance,11-3031.00,Advise the CEO and board on financial implications of business decisions.,CEO und Vorstand zu finanziellen Auswirkungen von Geschäftsentscheidungen beraten.,modern_enrichment_v1,MOD_Chief_Financial_Officer_(CFO)
MOD_0048,Product Manager,Produktmanager/in,tech,11-2021.00,"Define the product vision, strategy, and roadmap.","Die Produktvision, Strategie und Roadmap festlegen.",modern_enrichment_v1,MOD_Product_Manager
MOD_0049,Product Manager,Produktmanager/in,tech,11-2021.00,Gather and prioritize user requirements and feedback.,Nutzeranforderungen und Feedback sammeln und priorisieren.,modern_enrichment_v1,MOD_Product_Manager
MOD_0050,Product Manager,Produktmanager/in,tech,11-2021.00,Write product specifications and user stories.,Produktspezifikationen und User Stories schreiben.,modern_enrichment_v1,MOD_Product_Manager
MOD_0051,Product Manager,Produktmanager/in,tech,11-2021.00,"Coordinate with engineering, design, and marketing teams.","Mit Engineering-, Design- und Marketingteams abstimmen.",modern_enrichment_v1,MOD_Product_Manager
MOD_0052,Product Manager,Produktmanager/in,tech,11-2021.00,Analyze product metrics and user behavior data.,Produktkennzahlen und Nutzerverhalten analysieren.,modern_enrichment_v1,MOD_Product_Manager
MOD_0053,Product Manager,Produktmanager/in,tech,11-2021.00,Conduct competitive analysis and market research.,Wettbewerbsanalysen und Marktforschung durchführen.,modern_enrichment_v1,MOD_Product_Manager
MOD_0054,Product Manager,Produktmanager/in,tech,11-2021.00,Prioritize features based on business value and user impact.,Features nach Geschäftswert und Nutzernutzen priorisieren.,modern_enrichment_v1,MOD_Product_Manager
MOD_0055,Product Manager,Produktmanager/in,tech,11-2021.00,Present product plans and progress to stakeholders.,Produktpläne und Fortschritte den Stakeholdern präsentieren.,modern_enrichment_v1,MOD_Product_Manager
MOD_0056,Product Manager,Produktmanager/in,tech,11-2021.00,Manage the product backlog and sprint planning.,Das Product Backlog und die Sprintplanung verwalten.,modern_enrichment_v1,MOD_Product_Manager
MOD_0057,Product Manager,Produktmanager/in,tech,11-2021.00,Define success metrics and track product performance.,Erfolgskennzahlen definieren und Produktleistung messen.,modern_enrichment_v1,MOD_Product_Manager
MOD_0058,Product Manager,Produktmanager/in,tech,11-2021.00,Facilitate user testing and feedback sessions.,Nutzertests und Feedback-Sitzungen durchführen.,modern_enrichment_v1,MOD_Product_Manager
MOD_0059,Product Manager,Produktmanager/in,tech,11-2021.00,"Make trade-off decisions between scope, timeline, and quality.","Abwägungen zwischen Umfang, Zeitplan und Qualität treffen.",modern_enrichment_v1,MOD_Product_Manager
MOD_0060,Product Owner,Product Owner,tech,,Manage and prioritize the product backlog.,Das Product Backlog verwalten und priorisieren.,modern_enrichment_v1,MOD_Product_Owner
MOD_0061,Product Owner,Product Owner,tech,,Write and refine user stories with acceptance criteria.,User Stories mit Akzeptanzkriterien schreiben und verfeinern.,modern_enrichment_v1,MOD_Product_Owner
MOD_0062,Product Owner,Product Owner,tech,,Represent user needs in sprint planning and reviews.,Nutzerbedürfnisse in der Sprintplanung und Reviews vertreten.,modern_enrichment_v1,MOD_Product_Owner
MOD_0063,Product Owner,Product Owner,tech,,Accept or reject completed work based on requirements.,Abgeschlossene Arbeit auf Basis der Anforderungen abnehmen.,modern_enrichment_v1,MOD_Product_Owner
MOD_0064,Product Owner,Product Owner,tech,,Collaborate with the development team on implementation details.,Mit dem Entwicklungsteam an Umsetzungsdetails zusammenarbeiten.,modern_enrichment_v1,MOD_Product_Owner
MOD_0065,Product Owner,Product Owner,tech,,Clarify requirements and answer team questions during sprints.,Anforderungen klären und Teamfragen während des Sprints beantworten.,modern_enrichment_v1,MOD_Product_Owner
MOD_0066,Product Owner,Product Owner,tech,,Align backlog priorities with business goals.,Backlog-Prioritäten mit Unternehmenszielen abstimmen.,modern_enrichment_v1,MOD_Product_Owner
MOD_0067,Product Owner,Product Owner,tech,,Facilitate backlog grooming sessions.,Backlog-Grooming-Sitzungen moderieren.,modern_enrichment_v1,MOD_Product_Owner
MOD_0068,Product Owner,Product Owner,tech,,Track sprint velocity and team capacity.,Sprint-Velocity und Teamkapazität verfolgen.,modern_enrichment_v1,MOD_Product_Owner
MOD_0069,Product Owner,Product Owner,tech,,Communicate product progress to stakeholders.,Produktfortschritt an Stakeholder kommunizieren.,modern_enrichment_v1,MOD_Product_Owner
MOD_0070,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Design user interfaces for web and mobile applications.,Benutzeroberflächen für Web- und Mobile-Anwendungen gestalten.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0071,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,"Create wireframes, prototypes, and high-fidelity mockups.","Wireframes, Prototypen und hochwertige Mockups erstellen.",modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0072,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Conduct user research and usability testing.,Nutzerforschung und Usability-Tests durchführen.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0073,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Build and maintain design systems and component libraries.,Design-Systeme und Komponentenbibliotheken aufbauen und pflegen.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0074,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Collaborate with developers on implementation of designs.,Mit Entwicklern an der Umsetzung der Designs zusammenarbeiten.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0075,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Analyze user flows and identify usability issues.,Nutzerflüsse analysieren und Usability-Probleme identifizieren.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0076,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Create information architecture and navigation structures.,Informationsarchitektur und Navigationsstrukturen erstellen.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0077,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Present design concepts to stakeholders and gather feedback.,Designkonzepte den Stakeholdern vorstellen und Feedback einholen.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0078,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Ensure designs meet accessibility standards.,"Sicherstellen, dass Designs Barrierefreiheitsstandards erfüllen.",modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0079,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Translate business requirements into intuitive user experiences.,Geschäftsanforderungen in intuitive Nutzererlebnisse übersetzen.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0080,UI/UX Designer,UI/UX-Designer/in,tech,27-1024.00,Create interactive prototypes for user validation.,Interaktive Prototypen zur Nutzervalidierung erstellen.,modern_enrichment_v1,MOD_UI_UX_Designer
MOD_0081,Machine Learning Engineer,Machine-Learning-Ingenieur/in,tech,15-2051.00,"Design, train, and optimize machine learning models.","Machine-Learning-Modelle entwerfen, trainieren und optimieren.",modern_enrichment_v1,MOD_Machine_Learning_Engineer
MOD_0082,Machine Learning Engineer,Machine-Learning-Ingenieur/in,tech,15-2051.00,Prepare and clean datasets for model training.,Datensätze für das Modelltraining aufbereiten und bereinigen.,modern_enrichment_v1,MOD_Machine_Learning_Engineer
