task_id,occupation,occupation_de,sector,onet_code,task_text,paraphrase_de,task_source,berufenet_id
MOD_0171,Prompt Engineer,Prompt-Ingenieur/in,tech,,Collaborate with product teams on AI feature requirements.,Mit Produktteams an KI-Feature-Anforderungen zusammenarbeiten.,modern_enrichment_v1,MOD_Prompt_Engineer
MOD_0172,Prompt Engineer,Prompt-Ingenieur/in,tech,,Implement guardrails and output validation for AI systems.,Leitplanken und Ausgabevalidierung für KI-Systeme umsetzen.,modern_enrichment_v1,MOD_Prompt_Engineer
MOD_0173,Prompt Engineer,Prompt-Ingenieur/in,tech,,Analyze failure modes and edge cases in model responses.,Fehlermuster und Grenzfälle in Modellantworten analysieren.,modern_enrichment_v1,MOD_Prompt_Engineer
MOD_0174,Prompt Engineer,Prompt-Ingenieur/in,tech,,Stay current with new model capabilities and techniques.,Aktuelle Modellkapazitäten und Techniken verfolgen.,modern_enrichment_v1,MOD_Prompt_Engineer
MOD_0175,Prompt Engineer,Prompt-Ingenieur/in,tech,,Train non-technical teams on effective AI usage.,Nicht-technische Teams im effektiven KI-Einsatz schulen.,modern_enrichment_v1,MOD_Prompt_Engineer
MOD_0176,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Onboard new customers and ensure successful product adoption.,Neue Kunden einführen und erfolgreiche Produktnutzung sicherstellen.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0177,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Build and maintain long-term relationships with key accounts.,Langfristige Beziehungen zu Schlüsselkunden aufbauen und pflegen.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0178,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Monitor customer health scores and usage metrics.,Kundenzufriedenheitswerte und Nutzungsmetriken überwachen.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0179,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Identify upselling and cross-selling opportunities.,Upselling- und Cross-Selling-Möglichkeiten identifizieren.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0180,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Resolve customer issues and escalate when necessary.,Kundenprobleme lösen und bei Bedarf eskalieren.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0181,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Conduct regular check-ins and business reviews with customers.,Regelmäßige Check-ins und Geschäftsbewertungen mit Kunden durchführen.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0182,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Gather customer feedback and relay to product teams.,Kundenfeedback sammeln und an Produktteams weitergeben.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0183,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Develop customer training materials and documentation.,Kundenschulungsmaterialien und Dokumentation erstellen.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0184,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Track and reduce customer churn.,Kundenabwanderung verfolgen und reduzieren.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0185,Customer Success Manager,Customer-Success-Manager/in,management,11-2022.00,Collaborate with sales on renewal and expansion strategies.,Mit dem Vertrieb an Verlängerungs- und Ausbaustrategien zusammenarbeiten.,modern_enrichment_v1,MOD_Customer_Success_Manager
MOD_0186,Growth Manager,Growth-Manager/in,marketing,,Design and run growth experiments across marketing channels.,Wachstumsexperimente über Marketingkanäle hinweg entwerfen und durchführen.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0187,Growth Manager,Growth-Manager/in,marketing,,Analyze user acquisition funnels and conversion metrics.,Nutzerakquise-Trichter und Conversion-Kennzahlen analysieren.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0188,Growth Manager,Growth-Manager/in,marketing,,Optimize onboarding flows to improve user activation.,Onboarding-Abläufe zur Verbesserung der Nutzeraktivierung optimieren.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0189,Growth Manager,Growth-Manager/in,marketing,,Develop referral and viral growth strategies.,Empfehlungs- und virale Wachstumsstrategien entwickeln.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0190,Growth Manager,Growth-Manager/in,marketing,,"A/B test landing pages, emails, and ad creatives.","Landing Pages, E-Mails und Werbemittel per A/B-Test optimieren.",modern_enrichment_v1,MOD_Growth_Manager
MOD_0191,Growth Manager,Growth-Manager/in,marketing,,Manage paid advertising budgets across platforms.,Bezahlte Werbebudgets plattformübergreifend verwalten.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0192,Growth Manager,Growth-Manager/in,marketing,,Build dashboards to track growth KPIs.,Dashboards zum Tracking der Wachstums-KPIs erstellen.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0193,Growth Manager,Growth-Manager/in,marketing,,Collaborate with product and engineering on growth features.,Mit Produkt und Engineering an Wachstumsfunktionen zusammenarbeiten.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0194,Growth Manager,Growth-Manager/in,marketing,,Identify and prioritize high-impact growth opportunities.,Wachstumschancen mit hohem Potenzial identifizieren und priorisieren.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0195,Growth Manager,Growth-Manager/in,marketing,,Analyze cohort retention and engagement data.,Kohortenretention und Engagement-Daten analysieren.,modern_enrichment_v1,MOD_Growth_Manager
MOD_0196,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Design and improve employee onboarding processes.,Onboarding-Prozesse für Mitarbeiter gestalten und verbessern.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0197,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Manage performance review cycles and feedback systems.,Performance-Review-Zyklen und Feedbacksysteme verwalten.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0198,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Develop compensation and benefits programs.,Vergütungs- und Benefits-Programme entwickeln.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0199,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Handle employee relations issues and conflict resolution.,Mitarbeiterbeziehungen und Konflikte bearbeiten.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0200,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Ensure compliance with labor laws and employment regulations.,Die Einhaltung arbeitsrechtlicher Vorschriften sicherstellen.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0201,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Analyze HR data and workforce metrics.,HR-Daten und Personalkennzahlen analysieren.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0202,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Manage HR information systems and employee records.,HR-Informationssysteme und Mitarbeiterakten verwalten.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0203,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Coordinate training and professional development programs.,Weiterbildungs- und Entwicklungsprogramme koordinieren.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0204,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,"Support diversity, equity, and inclusion initiatives.","Diversitäts-, Gleichstellungs- und Inklusionsinitiativen unterstützen.",modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0205,People Operations Manager,People-Operations-Manager/in,management,11-3121.00,Manage offboarding processes and exit interviews.,Offboarding-Prozesse und Austrittsinterviews durchführen.,modern_enrichment_v1,MOD_People_Operations_Manager
MOD_0206,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Develop and implement the company's sustainability strategy.,Die Nachhaltigkeitsstrategie des Unternehmens entwickeln und umsetzen.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0207,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Measure and report on environmental impact metrics.,Umweltwirkungskennzahlen messen und berichten.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0208,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Ensure compliance with environmental regulations.,Die Einhaltung von Umweltvorschriften sicherstellen.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0209,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Coordinate sustainability initiatives across departments.,Nachhaltigkeitsinitiativen abteilungsübergreifend koordinieren.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0210,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Prepare ESG reports for investors and regulatory bodies.,ESG-Berichte für Investoren und Aufsichtsbehörden erstellen.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0211,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Identify opportunities to reduce carbon emissions and waste.,Möglichkeiten zur Reduktion von CO₂-Emissionen und Abfall identifizieren.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0212,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Manage sustainability certifications and audits.,Nachhaltigkeitszertifizierungen und Audits verwalten.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0213,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Train employees on sustainability practices.,Mitarbeiter in Nachhaltigkeitspraktiken schulen.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0214,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Benchmark performance against industry sustainability standards.,Leistung an Branchenstandards für Nachhaltigkeit messen.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0215,Sustainability Manager,Nachhaltigkeitsmanager/in,management,11-9199.00,Engage with external stakeholders on sustainability topics.,Mit externen Stakeholdern zu Nachhaltigkeitsthemen in Kontakt treten.,modern_enrichment_v1,MOD_Sustainability_Manager
MOD_0216,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Design technical solutions that meet client business requirements.,Technische Lösungen entsprechend der Kundenanforderungen entwerfen.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0217,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Evaluate and recommend technology platforms and architectures.,Technologieplattformen und Architekturen bewerten und empfehlen.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0218,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Create system architecture diagrams and documentation.,Systemarchitekturdiagramme und Dokumentation erstellen.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0219,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Present technical proposals to clients and stakeholders.,Technische Vorschläge Kunden und Stakeholdern präsentieren.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0220,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Collaborate with development teams on implementation approach.,Mit Entwicklungsteams am Umsetzungsansatz zusammenarbeiten.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0221,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Assess technical risks and develop mitigation strategies.,Technische Risiken bewerten und Gegenmaßnahmen entwickeln.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0222,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Define integration patterns between systems and services.,Integrationsmuster zwischen Systemen und Diensten definieren.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0223,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Conduct proof-of-concept builds for new technologies.,Proof-of-Concept-Prototypen für neue Technologien erstellen.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0224,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,Support pre-sales activities with technical expertise.,Presales-Aktivitäten mit technischem Fachwissen unterstützen.,modern_enrichment_v1,MOD_Solutions_Architect
MOD_0225,Solutions Architect,Lösungsarchitekt/in,tech,15-1299.09,"Ensure solutions meet security, scalability, and performance needs.","Sicherstellen, dass Lösungen Sicherheits-, Skalierbarkeits- und Leistungsanforderungen erfüllen.",modern_enrichment_v1,MOD_Solutions_Architect
MOD_0226,Community Manager,Community-Manager/in,marketing,,Build and engage online communities around the brand.,Online-Communities rund um die Marke aufbauen und aktivieren.,modern_enrichment_v1,MOD_Community_Manager
MOD_0227,Community Manager,Community-Manager/in,marketing,,Moderate user discussions and enforce community guidelines.,Nutzerdiskussionen moderieren und Community-Richtlinien durchsetzen.,modern_enrichment_v1,MOD_Community_Manager
MOD_0228,Community Manager,Community-Manager/in,marketing,,Create and schedule community content and events.,Community-Inhalte und -Veranstaltungen erstellen und planen.,modern_enrichment_v1,MOD_Community_Manager
MOD_0229,Community Manager,Community-Manager/in,marketing,,"Respond to community questions, feedback, and complaints.","Auf Fragen, Feedback und Beschwerden der Community reagieren.",modern_enrichment_v1,MOD_Community_Manager
MOD_0230,Community Manager,Community-Manager/in,marketing,,Analyze community engagement metrics and growth trends.,Community-Engagement-Kennzahlen und Wachstumstrends analysieren.,modern_enrichment_v1,MOD_Community_Manager
MOD_0231,Community Manager,Community-Manager/in,marketing,,Organize online and offline community events.,Online- und Offline-Community-Events organisieren.,modern_enrichment_v1,MOD_Community_Manager
MOD_0232,Community Manager,Community-Manager/in,marketing,,Identify and nurture community advocates.,Community-Botschafter identifizieren und fördern.,modern_enrichment_v1,MOD_Community_Manager
MOD_0233,Community Manager,Community-Manager/in,marketing,,Collaborate with marketing on user-generated content campaigns.,Mit dem Marketing an User-Generated-Content-Kampagnen zusammenarbeiten.,modern_enrichment_v1,MOD_Community_Manager
MOD_0234,Community Manager,Community-Manager/in,marketing,,Report community insights and sentiment to product teams.,Community-Erkenntnisse und Stimmung an Produktteams weitergeben.,modern_enrichment_v1,MOD_Community_Manager
MOD_0235,Community Manager,Community-Manager/in,marketing,,Develop community programs to increase retention.,Community-Programme zur Steigerung der Bindung entwickeln.,modern_enrichment_v1,MOD_Community_Manager
MOD_0236,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Monitor security systems and alerts for potential threats.,Sicherheitssysteme und Warnmeldungen auf potenzielle Bedrohungen überwachen.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0237,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Investigate and respond to security incidents and breaches.,Sicherheitsvorfälle und Datenverletzungen untersuchen und darauf reagieren.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0238,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Conduct vulnerability assessments and penetration testing.,Schwachstellenanalysen und Penetrationstests durchführen.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0239,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Implement and maintain security tools and configurations.,Sicherheitstools und -konfigurationen implementieren und pflegen.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0240,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Analyze security logs and network traffic for anomalies.,Sicherheitsprotokolle und Netzwerkverkehr auf Anomalien analysieren.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0241,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Develop and update incident response procedures.,Incident-Response-Verfahren entwickeln und aktualisieren.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0242,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Ensure compliance with security frameworks and regulations.,Die Einhaltung von Sicherheitsframeworks und Vorschriften sicherstellen.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0243,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Conduct security awareness training for employees.,Sicherheitsschulungen für Mitarbeiter durchführen.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0244,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Assess and document security risks and recommendations.,Sicherheitsrisiken bewerten und Empfehlungen dokumentieren.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0245,Cybersecurity Analyst,Cybersicherheitsanalyst/in,tech,15-1212.00,Collaborate with IT teams on security hardening.,Mit IT-Teams an der Sicherheitshärtung zusammenarbeiten.,modern_enrichment_v1,MOD_Cybersecurity_Analyst
MOD_0246,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Identify and recruit relevant influencers for brand campaigns.,Relevante Influencer für Markenkampagnen identifizieren und gewinnen.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0247,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Negotiate contracts and compensation with influencers.,Verträge und Vergütungen mit Influencern verhandeln.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0248,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Develop campaign briefs and creative guidelines.,Kampagnen-Briefings und Kreativrichtlinien entwickeln.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0249,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Coordinate content creation and approval processes.,Content-Erstellung und Freigabeprozesse koordinieren.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0250,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Track campaign performance and influencer metrics.,Kampagnenleistung und Influencer-Kennzahlen verfolgen.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0251,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Manage influencer relationships and long-term partnerships.,Influencer-Beziehungen und langfristige Partnerschaften pflegen.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0252,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Analyze ROI and effectiveness of influencer campaigns.,ROI und Wirksamkeit von Influencer-Kampagnen analysieren.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0253,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Ensure compliance with advertising disclosure regulations.,Die Einhaltung von Werbekennzeichnungspflichten sicherstellen.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0254,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Stay current with social media trends and platform changes.,Aktuelle Social-Media-Trends und Plattformänderungen verfolgen.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
MOD_0255,Influencer Marketing Manager,Influencer-Marketing-Manager/in,marketing,,Report campaign results and insights to stakeholders.,Kampagnenergebnisse und Erkenntnisse an Stakeholder berichten.,modern_enrichment_v1,MOD_Influencer_Marketing_Manager
